,material,Cell type,test,time (hr),concentration (ug/ml),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,viability (%)
0,1,1,1,0.10638297872340424,0.00121875,0.3597239707185154,0.4963414634146342,1.0,1.0000000000000002,0.3655111891180342,0.34782608695652184,0.4844649021864212
1,1,1,1,0.10638297872340424,0.0024375,0.3597239707185154,0.4963414634146342,1.0,1.0000000000000002,0.3655111891180342,0.34782608695652184,0.4145463069513703
2,1,1,1,0.10638297872340424,0.004875,0.3597239707185154,0.4963414634146342,1.0,1.0000000000000002,0.3655111891180342,0.34782608695652184,0.46341047606870395
3,1,1,1,0.10638297872340424,0.00975,0.3597239707185154,0.4963414634146342,1.0,1.0000000000000002,0.3655111891180342,0.34782608695652184,0.4196010740314538
4,1,1,1,0.10638297872340424,0.0195,0.3597239707185154,0.4963414634146342,1.0,1.0000000000000002,0.3655111891180342,0.34782608695652184,0.4179175723479521
5,1,1,1,0.10638297872340424,0.0390625,0.3597239707185154,0.4963414634146342,1.0,1.0000000000000002,0.3655111891180342,0.34782608695652184,0.42803563056727617
6,1,1,1,0.10638297872340424,0.078125,0.3597239707185154,0.4963414634146342,1.0,1.0000000000000002,0.3655111891180342,0.34782608695652184,0.4086476580147467
7,1,1,1,0.10638297872340424,0.15625,0.3597239707185154,0.4963414634146342,1.0,1.0000000000000002,0.3655111891180342,0.34782608695652184,0.33871627669096027
8,1,1,1,0.10638297872340424,0.3125,0.3597239707185154,0.4963414634146342,1.0,1.0000000000000002,0.3655111891180342,0.34782608695652184,0.4044367727912032
9,1,1,1,0.10638297872340424,0.625,0.3597239707185154,0.4963414634146342,1.0,1.0000000000000002,0.3655111891180342,0.34782608695652184,0.3378723948344202
10,1,1,1,0.23404255319148934,0.00121875,0.3597239707185154,0.4963414634146342,1.0,1.0000000000000002,0.3655111891180342,0.34782608695652184,0.44840813195243573
11,1,1,1,0.23404255319148934,0.0024375,0.3597239707185154,0.4963414634146342,1.0,1.0000000000000002,0.3655111891180342,0.34782608695652184,0.5150662745599455
12,1,1,1,0.23404255319148934,0.004875,0.3597239707185154,0.4963414634146342,1.0,1.0000000000000002,0.3655111891180342,0.34782608695652184,0.49972296807739847
13,1,1,1,0.23404255319148934,0.00975,0.3597239707185154,0.4963414634146342,1.0,1.0000000000000002,0.3655111891180342,0.34782608695652184,0.45203085709414825
14,1,1,1,0.23404255319148934,0.0195,0.3597239707185154,0.4963414634146342,1.0,1.0000000000000002,0.3655111891180342,0.34782608695652184,0.36197417210075444
15,1,1,1,0.23404255319148934,0.0390625,0.3597239707185154,0.4963414634146342,1.0,1.0000000000000002,0.3655111891180342,0.34782608695652184,0.409696117291054
16,1,1,1,0.23404255319148934,0.078125,0.3597239707185154,0.4963414634146342,1.0,1.0000000000000002,0.3655111891180342,0.34782608695652184,0.401589737032775
17,1,1,1,0.23404255319148934,0.15625,0.3597239707185154,0.4963414634146342,1.0,1.0000000000000002,0.3655111891180342,0.34782608695652184,0.44299535438775944
18,1,1,1,0.23404255319148934,0.3125,0.3597239707185154,0.4963414634146342,1.0,1.0000000000000002,0.3655111891180342,0.34782608695652184,0.3367600051144355
19,1,1,1,0.23404255319148934,0.625,0.3597239707185154,0.4963414634146342,1.0,1.0000000000000002,0.3655111891180342,0.34782608695652184,0.271930273196096
20,1,1,1,0.10638297872340424,0.00121875,0.34899986012029655,0.5333333333333333,1.0,1.0000000000000002,0.3655111891180342,0.34782608695652184,0.41539018880791034
21,1,1,1,0.10638297872340424,0.0024375,0.34899986012029655,0.5333333333333333,1.0,1.0000000000000002,0.3655111891180342,0.34782608695652184,0.406964156331245
22,1,1,1,0.10638297872340424,0.004875,0.34899986012029655,0.5333333333333333,1.0,1.0000000000000002,0.3655111891180342,0.34782608695652184,0.38337382261432895
23,1,1,1,0.10638297872340424,0.00975,0.34899986012029655,0.5333333333333333,1.0,1.0000000000000002,0.3655111891180342,0.34782608695652184,0.4516046541362997
24,1,1,1,0.10638297872340424,0.0195,0.34899986012029655,0.5333333333333333,1.0,1.0000000000000002,0.3655111891180342,0.34782608695652184,0.40528065464774327
