,Cell type,test,material,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,x,rox,radii
3048,HepG2,MTT,Bi2O3,24,75.0,91.3655,120.0,-47.6,2.5641025641025643,2.872,0.308,1.6
3049,NRK-52E,MTT,Bi2O3,24,100.0,91.9679,120.0,-47.6,2.5641025641025643,2.872,0.308,1.6
3050,NRK-52E,MTT,Bi2O3,20,0.0,94.2,546.0,-38.7,2.5641025641025643,2.872,0.308,1.6
3051,NRK-52E,MTT,Bi2O3,20,1440.0,90.6,546.0,-38.7,2.5641025641025643,2.872,0.308,1.6
3052,NRK-52E,MTT,Bi2O3,20,0.0,94.1,546.0,-38.7,2.5641025641025643,2.872,0.308,1.6
3053,NRK-52E,MTT,Bi2O3,20,1440.0,85.6,546.0,-38.7,2.5641025641025643,2.872,0.308,1.6
3054,NRK-52E,MTT,Bi2O3,20,0.0,94.2,75.1,-29.5,2.5641025641025643,2.872,0.308,1.6
3055,NRK-52E,MTT,Bi2O3,20,200.0,91.9,75.1,-29.5,2.5641025641025643,2.872,0.308,1.6
3056,Caco-2,MTT,Bi2O3,20,0.0,94.1,75.1,-29.5,2.5641025641025643,2.872,0.308,1.6
3057,Caco-2,MTT,Bi2O3,20,200.0,91.6,75.1,-29.5,2.5641025641025643,2.872,0.308,1.6
3058,Caco-2,MTT,Bi2O3,24,0.0,101.28,79.0,-13.2,2.5641025641025643,2.872,0.308,1.6
3059,Caco-2,MTT,Bi2O3,24,0.001,102.24,79.0,-13.2,2.5641025641025643,2.872,0.308,1.6
3060,Caco-2,MTT,Bi2O3,24,0.01,101.28,79.0,-13.2,2.5641025641025643,2.872,0.308,1.6
3061,Caco-2,MTT,Bi2O3,24,0.1,96.48,79.0,-13.2,2.5641025641025643,2.872,0.308,1.6
3062,Caco-2,MTT,Bi2O3,24,1.0,98.4,79.0,-13.2,2.5641025641025643,2.872,0.308,1.6
3063,A549,MTT,Bi2O3,24,10.0,97.92,79.0,-13.2,2.5641025641025643,2.872,0.308,1.6
3064,A549,MTT,Bi2O3,24,100.0,99.36,79.0,-13.2,2.5641025641025643,2.872,0.308,1.6
3065,A549,MTT,Bi2O3,24,0.0,100.0,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3066,A549,MTT,Bi2O3,24,20.0,90.0,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3067,A549,MTT,Bi2O3,24,40.0,122.2222,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3068,A549,MTT,Bi2O3,24,60.0,111.1111,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3069,A549,MTT,Bi2O3,24,80.0,127.7778,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3070,HepG2,NRU,Bi2O3,24,100.0,142.2222,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
3071,HepG2,NRU,Bi2O3,24,120.0,115.5556,504.5,-10.7,2.5641025641025643,2.872,0.308,1.6
