,Cell type,test,material,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,x,rox,radii
2628,CCL-110,MTS,Ag,48,2.0,72.693,6.0,-36.5,0.0,1.93,0.7996,1.6
2629,CCL-110,MTS,Ag,48,4.0,65.263,6.0,-36.5,0.0,1.93,0.7996,1.6
2630,CCL-110,MTS,Ag,72,0.5,75.294,6.0,-36.5,0.0,1.93,0.7996,1.6
2631,CCL-110,MTS,Ag,72,2.0,50.217,6.0,-36.5,0.0,1.93,0.7996,1.6
2632,CCL-110,MTS,Ag,72,4.0,42.229,6.0,-36.5,0.0,1.93,0.7996,1.6
2633,CCL-110,MTS,Ag,24,0.5,93.499,8.0,11.0,0.0,1.93,0.7996,1.6
2634,CCL-110,MTS,Ag,24,2.0,87.74,8.0,11.0,0.0,1.93,0.7996,1.6
2635,CCL-110,MTS,Ag,24,4.0,86.44,8.0,11.0,0.0,1.93,0.7996,1.6
2636,CCL-110,MTS,Ag,48,0.5,92.941,8.0,11.0,0.0,1.93,0.7996,1.6
2637,CCL-110,MTS,Ag,48,2.0,83.653,8.0,11.0,0.0,1.93,0.7996,1.6
2638,CCL-110,MTS,Ag,48,4.0,78.824,8.0,11.0,0.0,1.93,0.7996,1.6
2639,CCL-110,MTS,Ag,72,0.5,90.712,8.0,11.0,0.0,1.93,0.7996,1.6
2640,CCL-110,MTS,Ag,72,2.0,80.31,8.0,11.0,0.0,1.93,0.7996,1.6
2641,CCL-110,MTS,Ag,72,4.0,71.022,8.0,11.0,0.0,1.93,0.7996,1.6
2642,CCL-110,MTS,Au,24,0.5,97.447,6.0,-36.5,0.0,2.54,1.692,1.35
2643,CCL-110,MTS,Au,24,2.0,94.681,6.0,-36.5,0.0,2.54,1.692,1.35
2644,CCL-110,MTS,Au,24,4.0,91.277,6.0,-36.5,0.0,2.54,1.692,1.35
2645,CCL-110,MTS,Au,48,0.5,92.766,6.0,-36.5,0.0,2.54,1.692,1.35
2646,CCL-110,MTS,Au,48,2.0,80.426,6.0,-36.5,0.0,2.54,1.692,1.35
2647,CCL-110,MTS,Au,48,4.0,63.404,6.0,-36.5,0.0,2.54,1.692,1.35
2648,CCL-110,MTS,Au,72,0.5,85.745,6.0,-36.5,0.0,2.54,1.692,1.35
2649,CCL-110,MTS,Au,72,2.0,71.915,6.0,-36.5,0.0,2.54,1.692,1.35
